"response_id","language","age_group","age1517","age1821","age2224","age_minor_adult","numerical_age","ar","as","at","au","av","aw","ax","ay","az","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","bk","bl","bm","bn","bo","bp","bq","br","bs","race","bt","bu","bv","bw","bx","by","bz","ca","cb","cc","cd","ce","cf","survey_source","cbo_involvement","ck","cl","cm","cn","co","cp","cq","cr","cs","ct","cu","cv","cw","cx","cy","q10","q10a","q10b","dd","de","df","favorite_movie","q12","q12a","dk","dl","dm","dn","do","dp","dq","dr","ds","dt","du","dv","dx","dy","dz","ea","eb","ec","ed","ef","eg","eh","ei","ej","ek","el","em","en","eo","ep","eq","er","es","et","eu","ev","ew","ex","ey","q19","q20","fc","fd","fe","ff","fg","fh","fi","fj","fk","fl","q22","fo","fp","fq","fr","fs","ft","fu","fv","fw","fx","sex_at_birth","q24","ga","gb","gc","gd","ge","gf","gg","q25","q26","q27","q28","org","org_spa","org_sp_an","spa_final_respondent","spa_name_final_respondent","zipcode_clean_respondent","age_wt","nh_race","acs_race","race_wt","sex_wt","spa_wt","weights_a1","weights_a2","weights_a3","weights_final"
136208183,1,1,1,0,0,1,16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] none",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] none",NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,3,3,3,3,3,4,3,4,4,3,1,3,1,2,1,1,4,NA,3,3,3,"Eternal Sunshine of the Spotless Mind",1,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,5,2,4,"Chips",1,1,1,1,6,6,6,1,6,1,1,1,1,3,1,1,2,1,1,1,2,"90291",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,"71","Downtown Los Angeles",4,5,"West","90291",0.771323119762698,"nh_white","nh_white",2.68143771256302,1.21570023966338,1.54268154967763,0.771323119762698,2.06825490190346,2.514377979929,3.87888451855217
136215803,1,2,0,1,0,2,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,3,3,2,2,2,3,1,4,3,5,3,3,2,4,2,1,5,NA,2,NA,3,"How To Train Your Dragon 2",1,2,3,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2,2,3,"Mmm not sure but I guess chips",6,3,2,3,3,6,6,3,3,3,1,4,2,4,6,4,3,4,3,5,4,"90001",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,"org4","Downtown Los Angeles (SPA 4)",4,6,"South","90001",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.426520024006104,1.1320941575718,1.24177227010825,1.04990574140261,0.447805822027186
136236589,1,2,0,1,0,2,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,4,3,4,3,4,4,3,4,4,3,1,1,1,1,1,1,5,NA,2,2,3,"Twilight",1,2,4,4,2,1,3,2,2,2,2,1,1,1,2,5,4,3,1,3,"spicy chips",1,5,1,7,3,3,3,1,6,3,2,4,1,1,3,2,6,3,6,3,5,"90001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"59","Pomona (SPA 3)",3,4,"Metro","90020",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.687491525901725,1.1320941575718,1.24177227010825,1.04990574140261,0.721801300209861
136237713,1,1,1,0,0,1,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,3,2,NA,2,2,2,"Suits",1,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,"Chips",1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,"90043",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"71","Downtown Los Angeles",4,6,"South","90043",0.771323119762698,"nh_black","nh_black",0.442724626389808,0.845489762234009,0.426520024006104,0.771323119762698,0.341483740022762,0.288721006158625,0.123145290477843
136238056,1,3,0,0,1,2,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,2,1,2,1,3,4,1,4,2,1,1,2,1,5,NA,3,3,4,"Jane the Virgin",2,5,4,4,4,4,2,2,2,2,2,1,2,1,4,4,4,4,4,4,"Seaweed",4,6,1,1,2,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,3,"91731",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"75","San Gabriel Valley",3,3,"San Gabriel","91731",1.1320941575718,"nh_asian","nh_asian",1.08363123302043,0.845489762234009,1.5815947228455,1.1320941575718,1.22677258786475,1.03722366362897,1.64046747280605
136240624,1,2,0,1,0,2,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,3,3,3,2,3,2,3,3,3,4,2,3,3,4,3,5,NA,2,2,2,"The Martian",1,2,2,2,3,2,3,3,3,3,3,2,2,2,4,4,4,4,4,4,"Chocolate",1,1,7,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,4,3,"90011",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,"59","Pomona (SPA 3)",3,6,"South","90011",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.426520024006104,1.1320941575718,1.24177227010825,1.04990574140261,0.447805822027186
136240804,1,1,1,0,0,1,15,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,3,3,NA,2,2,2,"howls moving castle",1,2,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,2,2,2,"pocky",6,2,2,1,6,6,6,6,6,2,1,2,1,2,1,2,2,1,1,1,3,"91754",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"75","San Gabriel Valley",3,3,"San Gabriel","91754",0.771323119762698,"nh_twoormor","nh_other",0.403590118954918,0.845489762234009,1.5815947228455,0.771323119762698,0.311298389657706,0.263199601455523,0.416275100717094
136241943,1,2,0,1,0,2,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,2,3,4,4,4,4,4,4,4,4,3,1,1,2,2,1,1,2,NA,2,3,2,"Friends or Greys Anatomy",1,4,4,2,3,4,3,3,3,2,2,3,3,3,4,4,4,4,4,4,"Peanuts M and M",3,3,6,6,6,6,6,6,6,1,1,3,1,3,3,3,3,3,3,3,3,"90255",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"org12","San Fernando Valley",2,7,"East","90255",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,1.36973911303646,1.1320941575718,1.24177227010825,1.04990574140261,1.4380969590007
136247705,1,2,0,1,0,2,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,3,3,3,3,3,3,3,3,4,2,1,1,1,1,1,1,4,NA,3,3,3,"Stranger things",1,4,3,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,"Fruit",1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,1,1,"91768",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,"59","Pomona (SPA 3)",3,3,"San Gabriel","91768",1.1320941575718,"latinx","latino",1.09688073364118,1.21570023966338,1.5815947228455,1.1320941575718,1.24177227010825,1.50962284637794,2.38761152731835
136248657,1,3,0,0,1,2,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,3,2,2,4,4,3,2,1,2,2,2,1,1,3,NA,3,3,3,"Spider-Man",2,5,3,3,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,4,"Potato Chips",3,6,2,2,3,6,6,1,6,2,1,2,1,1,1,2,3,2,3,2,3,"90807",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"56","West",5,8,"South Bay","90807",1.1320941575718,"nh_black","nh_black",0.442724626389808,1.21570023966338,1.31382052787373,1.1320941575718,0.50120596294906,0.609316209277888,0.800532143715496
136254761,1,3,0,0,1,2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,4,3,4,4,3,3,4,3,2,1,2,1,2,1,1,3,NA,3,3,3,"Breaking Bad",2,3,3,4,4,3,2,2,2,2,2,2,2,2,3,4,4,3,4,3,"Pringles",2,6,2,1,2,6,6,1,6,2,1,2,1,1,1,1,1,2,2,2,2,"91306",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"66","West",5,2,"San Fernando","91306",1.1320941575718,"nh_aian","nh_aian",0.0765235673436478,1.21570023966338,1.60477753950546,1.1320941575718,0.0866318835062958,0.105318401541094,0.169012605289765
136255034,1,1,1,0,0,1,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,NA,2,3,3,"John dodge",1,2,2,3,2,3,2,4,3,3,2,3,3,2,2,2,3,3,3,2,"Apple",4,4,5,3,4,4,5,3,4,2,2,3,3,2,2,2,2,2,3,2,4,"91007",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,"75","San Gabriel Valley",3,3,"San Gabriel","91007",0.771323119762698,"nh_black","nh_black",0.442724626389808,0.845489762234009,1.5815947228455,0.771323119762698,0.341483740022762,0.288721006158625,0.456639619715124
136267550,1,2,0,1,0,2,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,3,2,2,2,3,4,2,2,5,4,5,3,5,5,3,2,NA,2,3,2,"Planet of the apes",2,2,2,2,3,2,2,1,3,2,2,2,3,3,2,2,3,4,1,1,"Chips",1,1,1,1,6,6,6,1,6,1,1,2,3,1,3,4,2,4,2,4,2,"90011",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,"75","San Gabriel Valley",3,6,"South","90011",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.426520024006104,1.1320941575718,1.24177227010825,1.04990574140261,0.447805822027186
136267554,1,1,1,0,0,1,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,4,1,2,2,4,2,2,3,5,4,3,4,2,3,3,4,NA,4,4,3,"God doctor",1,3,4,4,4,3,2,2,3,1,3,2,3,2,2,3,2,4,1,1,"Ice cream",1,1,1,1,6,6,6,1,6,1,1,2,2,3,4,4,2,5,1,5,2,"90011",1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"75","San Gabriel Valley",3,6,"South","90011",0.771323119762698,"nh_asian","nh_asian",1.08363123302043,0.845489762234009,0.426520024006104,0.771323119762698,0.835829823325617,0.70668555859167,0.301415541415286
136267984,1,3,0,0,1,2,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,NA,2,2,2,"Starwars",2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,"Candy",3,3,3,7,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,"90011",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,"67","Metro",4,6,"South","90011",1.1320941575718,"nh_black","nh_black",0.442724626389808,1.21570023966338,0.426520024006104,1.1320941575718,0.50120596294906,0.609316209277888,0.259885564208513
136273410,1,2,0,1,0,2,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,4,3,3,3,4,4,4,3,4,4,2,1,2,2,2,1,4,NA,3,4,4,"Breaking Bad",1,4,4,3,3,3,2,2,2,2,2,2,1,2,4,3,4,2,3,4,"Chips",6,2,3,2,1,6,6,2,6,3,2,2,3,2,1,1,1,1,1,2,2,"90001",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"45374","South",6,6,"South","90001",1.1320941575718,"nh_black","nh_black",0.442724626389808,1.21570023966338,0.426520024006104,1.1320941575718,0.50120596294906,0.609316209277888,0.259885564208513
